START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
01/01/2024 23:54,01/02/2024 00:35,Business,Winter Park,Miami,3.1,Moving
01/03/2024 23:38,01/04/2024 00:09,Business,Daytona Beach,New York,1.1,Customer Visit
01/09/2024 12:29,01/09/2024 13:58,Business,Winter Park,Savannah,11.9,Meeting
01/10/2024 15:01,01/10/2024 15:28,Business,Charlotte,Raleigh,3.2,Between Offices
01/13/2024 22:58,01/14/2024 00:17,Business,Cary,Lake Wales,2.2,Errand/Supplies
01/17/2024 05:52,01/17/2024 06:36,Business,Savannah,Latta,7.9,Meeting
01/18/2024 02:55,01/18/2024 03:00,Business,Tampa,Palm Beach,9.4,Errand/Supplies
01/18/2024 05:42,01/18/2024 06:42,Business,Jacksonville,Daytona Beach,13.6,Commute
01/18/2024 16:14,01/18/2024 16:25,Business,Tampa,Savannah,2.2,Errand/Supplies
01/20/2024 23:30,01/21/2024 00:11,Business,Jamaica,Orlando,7.8,Between Offices
01/21/2024 08:23,01/21/2024 08:44,Business,Jamaica,Daytona Beach,2.6,Commute
01/22/2024 19:04,01/22/2024 19:46,Business,New York,Palm Beach,5.3,Airport/Travel
01/23/2024 04:49,01/23/2024 05:00,Business,Atlanta,Wilmington,6.0,Commute
01/24/2024 14:56,01/24/2024 16:02,Business,Jacksonville,Jamaica,1.6,Airport/Travel
01/25/2024 16:24,01/25/2024 17:29,Business,Berkeley Heights,Orlando,3.4,Between Offices
01/27/2024 01:43,01/27/2024 01:59,Business,Raleigh,Jamaica,4.9,Meal/Entertain
01/27/2024 12:28,01/27/2024 13:33,Business,Charlotte,Palm Beach,1.0,Temporary Site
01/27/2024 15:34,01/27/2024 17:02,Business,Gainesville,Kissimmee,10.7,Meeting
01/27/2024 18:43,01/27/2024 19:52,Business,Wilmington,Raleigh,2.8,Meeting
01/28/2024 17:35,01/28/2024 17:47,Business,Orlando,Daytona Beach,0.6,Temporary Site
01/29/2024 10:50,01/29/2024 12:03,Business,New York,Durham,11.1,Temporary Site
01/29/2024 18:29,01/29/2024 19:47,Business,New York,Elizabeth,8.3,Meeting
01/30/2024 03:39,01/30/2024 04:04,Business,Miami,Orlando,2.8,Charity ($)
01/31/2024 02:11,01/31/2024 02:52,Business,Lake Wales,Atlanta,2.6,Between Offices
01/31/2024 13:02,01/31/2024 13:57,Personal,Gainesville,Latta,10.9,Moving
01/31/2024 16:02,01/31/2024 17:25,Personal,Morrisville,Orlando,6.8,Commute
01/31/2024 23:42,02/01/2024 00:16,Personal,Palm Beach,Morrisville,21.5,
02/01/2024 16:23,02/01/2024 17:02,Business,Morrisville,Tampa,10.0,Airport/Travel
02/01/2024 20:08,02/01/2024 21:06,Business,Berkeley Heights,Lake Wales,0.8,Moving
02/05/2024 02:23,02/05/2024 03:23,Personal,Apex,Elizabeth,0.5,Errand/Supplies
02/05/2024 07:20,02/05/2024 07:31,Personal,Tampa,Elizabeth,2.6,Commute
02/06/2024 04:46,02/06/2024 05:19,Personal,Apex,Jamaica,2.2,Errand/Supplies
02/06/2024 05:16,02/06/2024 05:51,Business,Morrisville,Kissimmee,1.7,Charity ($)
02/08/2024 14:03,02/08/2024 14:55,Business,West Palm Beach,Raleigh,19.0,Between Offices
02/10/2024 05:29,02/10/2024 05:51,Business,Sarasota,Melbourne,1.4,Meal/Entertain
02/12/2024 00:40,02/12/2024 01:29,Business,Jamaica,Charlotte,2.6,Between Offices
02/12/2024 08:27,02/12/2024 09:29,Business,West Palm Beach,Daytona Beach,11.9,Moving
02/12/2024 16:35,02/12/2024 18:04,Personal,Fort Pierce,Durham,20.4,Commute
02/13/2024 10:40,02/13/2024 11:31,Personal,Gainesville,West Palm Beach,1.6,Moving
02/13/2024 10:44,02/13/2024 10:58,Personal,Melbourne,West Palm Beach,0.5,Commute
02/14/2024 10:24,02/14/2024 11:52,Business,Sarasota,Savannah,1.1,Commute
02/14/2024 11:31,02/14/2024 11:56,Personal,Winter Park,Fort Pierce,3.7,Errand/Supplies
02/14/2024 19:03,02/14/2024 19:41,Business,West Palm Beach,New York,2.9,Temporary Site
02/15/2024 00:28,02/15/2024 01:24,Personal,Jacksonville,Savannah,13.1,Errand/Supplies
02/19/2024 00:42,02/19/2024 01:51,Personal,Wilmington,Jamaica,1.0,Moving
02/22/2024 16:28,02/22/2024 17:22,Business,Raleigh,Orlando,0.6,Commute
02/24/2024 04:35,02/24/2024 04:53,Business,Cary,Orlando,18.6,Commute
02/25/2024 13:57,02/25/2024 14:31,Business,Apex,Palm Beach,2.0,Temporary Site
02/25/2024 23:37,02/26/2024 00:34,Personal,Cary,Berkeley Heights,14.2,Commute
02/26/2024 20:57,02/26/2024 21:34,Business,New York,Charlotte,4.9,Moving
02/27/2024 05:26,02/27/2024 05:34,Business,Orlando,Savannah,1.2,Charity ($)
02/27/2024 14:34,02/27/2024 14:47,Business,Tampa,Winter Park,17.0,Moving
02/29/2024 08:14,02/29/2024 08:46,Business,Lake Wales,Winter Park,16.4,Airport/Travel
03/01/2024 08:52,03/01/2024 09:31,Business,Miami,Lake Wales,10.2,Customer Visit
03/03/2024 00:07,03/03/2024 01:06,Business,Kissimmee,Charlotte,1.5,Errand/Supplies
03/03/2024 18:03,03/03/2024 19:04,Business,Melbourne,Fort Pierce,1.8,Airport/Travel
03/07/2024 17:58,03/07/2024 19:22,Business,Cary,Apex,0.7,Between Offices
03/10/2024 09:09,03/10/2024 10:18,Personal,Chapel Hill,Tampa,5.9,Moving
03/13/2024 04:00,03/13/2024 04:13,Business,Durham,Jamaica,1.1,Customer Visit
03/14/2024 20:52,03/14/2024 22:05,Business,Elizabeth,Boca Raton,2.7,Airport/Travel
03/16/2024 07:18,03/16/2024 08:07,Business,Gainesville,Jamaica,1.3,Errand/Supplies
03/18/2024 00:34,03/18/2024 00:48,Business,Jamaica,Sarasota,1.3,Customer Visit
03/20/2024 01:39,03/20/2024 03:05,Personal,Palm Beach,Atlanta,1.0,
03/22/2024 14:03,03/22/2024 14:39,Business,Daytona Beach,Melbourne,8.3,Between Offices
03/23/2024 08:58,03/23/2024 10:25,Business,West Palm Beach,Chapel Hill,3.3,Meeting
03/23/2024 09:06,03/23/2024 09:56,Business,Palm Beach,Atlanta,2.6,Between Offices
03/24/2024 12:09,03/24/2024 13:09,Business,Raleigh,Lake Wales,6.2,Customer Visit
